POS,Players,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
70,Devdutt Padikkal,46,46,1,1260,101*,28,1013,124.38,1,7,135,36
71,Deepak Hooda,95,75,14,1236,64,20.26,936,132.05,0,7,77,56
72,Ruturaj Gaikwad,36,36,4,1207,101*,37.72,926,130.35,1,10,113,43
73,Kedar Jadhav,93,80,26,1196,69,22.15,971,123.17,0,4,101,40
74,Irfan Pathan,103,82,29,1139,60,21.49,946,120.4,0,1,87,37
75,Axar Patel,122,88,29,1135,44,19.24,881,128.83,0,0,67,54
76,Matthew Hayden,32,32,2,1107,93,36.9,805,137.52,0,8,121,44
77,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
78,Manan Vohra,55,50,2,1073,95,22.35,818,131.17,0,3,103,43
79,Marcus Stoinis,67,59,18,1070,65,26.1,779,137.36,0,4,83,48
80,Sunil Narine,148,86,17,1025,75,14.86,630,162.7,0,4,112,63
81,Ross Taylor,55,54,14,1017,81*,25.43,822,123.72,0,3,66,46
82,Kevin Pietersen,36,36,9,1001,103,37.07,743,134.72,1,4,91,40
83,Moises Henriques,62,54,18,1000,74*,27.78,788,126.9,0,5,87,28
84,Venugopal Rao,64,54,10,985,71,22.39,836,117.82,0,3,77,37
85,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
86,Andrew Symonds,39,36,9,974,117,36.07,750,129.87,1,5,74,41
87,Cameron White,47,45,9,954,78,26.5,755,126.36,0,6,76,36
88,Ben Stokes,43,42,6,920,107*,25.56,684,134.5,2,2,79,32
89,Nicholas Pooran,47,44,9,912,77,26.06,603,151.24,0,4,52,65
90,Moeen Ali,44,42,3,910,93,23.33,632,143.99,0,5,76,53
91,Herschelle Gibbs,36,36,4,886,69*,27.69,807,109.79,0,6,83,31
92,Stuart Binny,95,68,23,880,48*,19.56,683,128.84,0,0,66,35
93,Harbhajan Singh,163,90,37,833,64,15.72,604,137.91,0,1,79,42
94,Shimron Hetmyer,46,44,17,831,75,30.78,546,152.2,0,3,55,52
95,Manvinder Bisla,39,39,1,798,92,21,702,113.68,0,4,93,23
96,Shakib Al Hasan,71,52,12,793,66*,19.83,637,124.49,0,2,73,21
97,Sanath Jayasuriya,30,30,2,772,114,27.57,532,145.11,1,4,85,39
98,Graeme Smith,29,29,3,739,91,28.42,668,110.63,0,4,94,9
99,Rahul Tewatia,64,46,17,738,53,25.45,566,130.39,0,1,57,35
100,Tillakaratne Dilshan,38,37,4,735,76*,22.27,666,110.36,0,5,98,11
101,Vijay Shankar,51,43,12,731,63*,23.58,599,122.04,0,3,46,28
102,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
103,Shivam Dube,35,33,5,688,95*,24.57,516,133.33,0,3,46,38
104,Tirumalasetti Suman,43,40,8,676,78,21.13,575,117.57,0,2,55,26
105,Abhishek Nayar,60,50,12,672,45,17.68,577,116.46,0,0,55,20
106,Abhishek Sharma,36,34,6,667,75,23.82,493,135.29,0,2,64,25
107,George Bailey,40,37,10,663,61,24.56,544,121.88,0,2,59,19
108,Evin Lewis,27,26,2,654,65,27.25,477,137.11,0,4,62,36
109,Ravichandran Ashwin,184,75,27,647,50,13.48,550,117.64,0,1,51,21
110,Chris Morris,81,51,23,618,82*,22.07,398,155.28,0,2,41,35
111,Jesse Ryder,29,29,1,604,86,21.57,458,131.88,0,4,69,19
112,Piyush Chawla,158,82,32,584,24*,11.68,526,111.03,0,0,54,18
113,Hashim Amla,16,16,3,577,104*,44.38,407,141.77,2,3,60,21
114,Venkatesh Iyer,22,22,2,552,67,27.6,457,120.79,0,5,54,21
115,Liam Livingstone,23,23,3,549,70,27.45,329,166.87,0,4,38,40
116,Yashasvi Jaiswal,23,23,0,547,68,23.78,406,134.73,0,3,62,22
117,Corey Anderson,30,29,7,538,95,24.45,423,127.19,0,3,40,31
118,Sarfaraz Khan,46,33,11,532,67,24.18,386,137.82,0,1,59,13
119,Ravi Bopara,24,22,4,531,84,29.5,453,117.22,0,3,39,16
120,James Faulkner,59,45,20,527,46,21.08,389,135.48,0,0,36,23
121,Aiden Markram,20,18,5,527,68*,40.54,393,134.1,0,3,37,23
122,Riyan Parag,47,37,6,522,56*,16.84,418,124.88,0,2,40,22
123,Gurkeerat Mann Singh,39,32,8,511,65,21.29,422,121.09,0,2,55,11
124,Owais Shah,23,22,7,506,76,33.73,389,130.08,0,4,34,23
125,Paul Valthaty,23,23,1,505,120,22.95,418,120.81,1,2,61,20
126,Sam Billings,30,27,1,503,56,19.35,388,129.64,0,3,40,20
